epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32858,0,0,21.2122,0,0,0,0,0,0,0,0,0,0,0,23.7188,0,4e-05,4e-05,4e-05
2,5.4257,0,0,19.3543,0,0,0,0,0,0,0,0,0,0,0,26.3984,0,9.67e-05,9.67e-05,9.67e-05
3,6.29892,0,0,20.3162,0,0,0,0,0,0,0,0,0,0,0,28.5156,0,0.00014944,0.00014944,0.00014944
4,7.1454,0,0,21.4701,0,0,0,0,0,0,0,0,0,0,0,29.3594,0,0.00019822,0.00019822,0.00019822
5,7.86162,0,0,23.1581,0,0,0,0,0,0,0,0,0,0,0,29.3594,0,0.00024304,0.00024304,0.00024304
6,8.59513,0,0,21.8346,0,0,0,0,0,0,0,0,0,0,0,31.2422,0,0.0002839,0.0002839,0.0002839
7,9.30647,0,0,23.1181,0,0,0,0,0,0,0,0,0,0,0,31.2422,0,0.0003208,0.0003208,0.0003208
8,10.0099,0,0,21.0516,0,0,0,0,0,0,0,0,0,0,0,31.2422,0,0.00035374,0.00035374,0.00035374
9,10.7599,0,0,29.7378,0,0,0,0,0,0,0,0,0,0,0,30.2109,0,0.00038272,0.00038272,0.00038272
10,11.4636,0,0,20.3592,0,0,0,0,0,0,0,0,0,0,0,30.2109,0,0.00040774,0.00040774,0.00040774
11,12.1726,0,0,24.2464,0,0,0,0,0,0,0,0,0,0,0,30.2109,0,0.0004288,0.0004288,0.0004288
12,12.8714,0,0,21.1281,0,0,0,0,0,0,0,0,0,0,0,30.2109,0,0.0004459,0.0004459,0.0004459
13,13.5996,0,0,27.3826,0,0,0,0,0,0,0,0,0,0,0,23.4922,0,0.00045904,0.00045904,0.00045904
14,14.3027,0,0,22.0791,0,0,0,0,0,0,0,0,0,0,0,23.4922,0,0.00046822,0.00046822,0.00046822
15,14.9954,0,0,20.6765,0,0,0,0,0,0,0,0,0,0,0,23.4922,0,0.00047344,0.00047344,0.00047344
16,15.6962,0,0,20.5396,0,0,0,0,0,0,0,0,0,0,0,23.4922,0,0.0004747,0.0004747,0.0004747
17,16.3964,0,0,21.495,0,0,0,0,0,0,0,0,0,0,0,23.4922,0,0.000472,0.000472,0.000472
18,17.1136,0,0,19.2555,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.00046534,0.00046534,0.00046534
19,17.827,0,0,22.3683,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.00045472,0.00045472,0.00045472
20,18.5082,0,0,24.5695,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.00044014,0.00044014,0.00044014
21,23.8664,0,0,21.2006,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.0004216,0.0004216,0.0004216
22,24.5809,0,0,18.8632,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.0003991,0.0003991,0.0003991
23,25.2743,0,0,23.891,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.00037264,0.00037264,0.00037264
24,25.9785,0,0,22.3426,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.00034222,0.00034222,0.00034222
25,26.6829,0,0,21.1178,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.00030784,0.00030784,0.00030784
26,27.3878,0,0,19.3678,0,0,0,0,0,0,0,0,0,0,0,22.5508,0,0.0002695,0.0002695,0.0002695
27,28.1043,0,0,18.3254,0,0,0,0,0,0,0,0,0,0,0,25.7812,0,0.0002272,0.0002272,0.0002272
28,28.8452,0,0,23.4317,0,0,0,0,0,0,0,0,0,0,0,25.7812,0,0.00018094,0.00018094,0.00018094
29,29.5358,0,0,20.9187,0,0,0,0,0,0,0,0,0,0,0,25.7812,0,0.00013072,0.00013072,0.00013072
30,30.2583,0,0,19.883,0,0,0,0,0,0,0,0,0,0,0,25.7812,0,7.654e-05,7.654e-05,7.654e-05
